dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 18:38:42,7,33,96,165,26,43,Bing,Carnegie Mellon University
2023-12-04 18:38:50,6,34,73,199,28,98,Amazon,Carnegie Mellon University
2023-12-04 18:38:53,53,106,225,310,53,32,Youtube,Carnegie Mellon University
2023-12-04 18:38:57,4,32,92,203,28,83,Bing,Airbnb
2023-12-04 18:38:59,16,42,80,197,26,91,Amazon,Airbnb
2023-12-04 18:39:03,46,103,284,369,57,28,Youtube,Airbnb
2023-12-04 18:39:09,8,35,95,163,27,41,Bing,Facebook
2023-12-04 18:39:17,58,113,290,485,55,140,Youtube,Facebook
2023-12-04 18:39:21,7,34,94,164,27,43,Bing,Youtube
2023-12-04 18:39:37,7,34,335,404,27,42,Bing,cirtic
2023-12-04 18:39:40,21,71,108,411,50,253,Amazon,cirtic
2023-12-04 18:39:50,8,53,124,486,45,317,Bing,when would there be
2023-12-04 18:39:56,6,32,107,390,26,257,Amazon,when would there be
2023-12-04 18:39:59,50,107,365,457,57,35,Youtube,when would there be
2023-12-04 18:40:17,47,113,522,609,66,21,Youtube,search the map for new
2023-12-04 18:40:25,21,69,528,651,48,75,Amazon,suggestions on finals
2023-12-04 18:40:29,41,100,279,372,59,34,Youtube,suggestions on finals
2023-12-04 18:40:39,11,68,317,432,57,58,Amazon,start
2023-12-04 18:40:47,6,40,99,191,34,58,Bing,ending
2023-12-04 18:40:51,9,52,104,217,43,70,Amazon,ending
2023-12-04 18:40:54,55,112,289,358,57,12,Youtube,ending
2023-12-04 18:40:58,7,33,93,158,26,39,Bing,safety
2023-12-04 18:41:03,16,62,114,247,46,87,Amazon,safety
2023-12-04 18:41:07,74,129,236,328,55,37,Youtube,safety
2023-12-04 18:41:11,8,34,94,165,26,45,Bing,data
2023-12-04 18:41:15,16,58,108,257,42,107,Amazon,data
2023-12-04 18:41:20,76,120,770,916,44,102,Youtube,data
2023-12-04 18:41:24,7,34,101,177,27,49,Bing,DDIO
2023-12-04 18:41:26,4,301,360,778,297,121,Amazon,DDIO
2023-12-04 18:41:31,46,89,243,404,43,118,Youtube,DDIO
2023-12-04 18:41:35,5,33,94,169,28,47,Bing,MSFG
2023-12-04 18:41:37,6,49,99,215,43,73,Amazon,MSFG
2023-12-04 18:41:42,59,100,236,331,41,54,Youtube,MSFG
2023-12-04 18:41:47,6,35,96,168,29,43,Bing,HOA
2023-12-04 18:41:50,16,60,112,267,44,111,Amazon,HOA
2023-12-04 18:41:54,96,140,321,444,44,79,Youtube,HOA
2023-12-04 18:41:59,35,61,126,198,26,46,Bing,FAFR
2023-12-04 18:42:01,7,55,114,229,48,67,Amazon,FAFR
2023-12-04 18:42:07,82,127,266,395,45,84,Youtube,FAFR
2023-12-04 18:42:11,9,36,107,177,27,43,Bing,WieSOichDichEmpfangen
2023-12-04 18:42:15,11,55,111,230,44,75,Amazon,WieSOichDichEmpfangen
2023-12-04 18:42:20,54,94,242,529,40,247,Youtube,WieSOichDichEmpfangen
2023-12-04 18:42:24,6,34,97,167,28,42,Bing,sagmichbitte
2023-12-04 18:42:28,4,46,97,210,42,71,Amazon,sagmichbitte
2023-12-04 18:42:33,42,81,230,298,39,29,Youtube,sagmichbitte
2023-12-04 18:42:37,6,34,94,160,28,38,Bing,ilAuraitSuffi
2023-12-04 18:42:40,4,47,101,367,43,223,Amazon,ilAuraitSuffi
2023-12-04 18:42:43,36,76,208,282,40,34,Youtube,ilAuraitSuffi
2023-12-04 18:42:58,26,56,115,185,30,40,Bing,Carnegie Mellon University
2023-12-04 18:43:03,68,112,162,282,44,76,Amazon,Carnegie Mellon University
2023-12-04 18:43:05,55,105,269,439,50,120,Youtube,Carnegie Mellon University
2023-12-04 18:43:10,8,33,95,167,25,47,Bing,Airbnb
2023-12-04 18:43:17,16,59,109,227,43,75,Amazon,Airbnb
2023-12-04 18:43:20,31,72,164,460,41,255,Youtube,Airbnb
2023-12-04 18:43:24,29,56,118,190,27,45,Bing,Facebook
2023-12-04 18:43:28,17,73,129,269,56,84,Amazon,Facebook
2023-12-04 18:43:32,53,97,249,431,44,138,Youtube,Facebook
2023-12-04 18:43:37,7,34,93,164,27,44,Bing,Youtube
2023-12-04 18:43:40,7,51,1011,1138,44,83,Amazon,Youtube
2023-12-04 18:43:43,57,98,481,628,41,106,Youtube,Youtube
2023-12-04 18:43:48,161,192,252,373,31,90,Bing,cirtic
2023-12-04 18:43:51,9,52,976,1096,43,77,Amazon,cirtic
2023-12-04 18:43:53,45,86,475,663,41,147,Youtube,cirtic
2023-12-04 18:43:58,9,37,83,165,28,54,Bing,when would there be
2023-12-04 18:44:01,4,48,98,215,44,73,Amazon,when would there be
2023-12-04 18:44:06,68,110,514,593,42,37,Youtube,when would there be
2023-12-04 18:44:11,8,36,83,308,28,197,Bing,search the map for new
2023-12-04 18:44:14,14,57,106,239,43,90,Amazon,search the map for new
2023-12-04 18:44:18,61,102,245,339,41,53,Youtube,search the map for new
2023-12-04 18:44:22,32,64,105,189,32,52,Bing,suggestions on finals
2023-12-04 18:44:24,71,114,166,292,43,83,Amazon,suggestions on finals
2023-12-04 18:44:29,43,83,238,328,40,50,Youtube,suggestions on finals
2023-12-04 18:44:34,7,34,78,253,27,148,Bing,start
2023-12-04 18:44:36,7,51,108,232,44,80,Amazon,start
2023-12-04 18:44:38,58,98,235,311,40,36,Youtube,start
2023-12-04 18:44:44,8,35,75,190,27,88,Bing,ending
2023-12-04 18:44:46,6,49,103,223,43,77,Amazon,ending
2023-12-04 18:44:48,55,95,247,337,40,50,Youtube,ending
2023-12-04 18:44:56,33,61,105,252,28,119,Bing,safety
2023-12-04 18:44:58,7,49,96,217,42,79,Amazon,safety
2023-12-04 18:45:01,52,94,233,394,42,119,Youtube,safety
2023-12-04 18:45:07,25,53,114,188,28,46,Bing,data
2023-12-04 18:45:10,13,58,110,228,45,73,Amazon,data
2023-12-04 18:45:14,59,101,247,330,42,41,Youtube,data
2023-12-04 18:45:21,9,38,108,593,29,456,Bing,DDIO
2023-12-04 18:45:24,5,46,100,227,41,86,Amazon,DDIO
2023-12-04 18:45:27,45,85,234,327,40,53,Youtube,DDIO
2023-12-04 18:45:31,8,39,117,187,31,39,Bing,MSFG
2023-12-04 18:45:33,5,47,100,212,42,70,Amazon,MSFG
2023-12-04 18:45:37,67,108,249,815,41,525,Youtube,MSFG
2023-12-04 18:45:41,6,34,97,170,28,45,Bing,HOA
2023-12-04 18:45:44,54,97,334,457,43,80,Amazon,HOA
2023-12-04 18:45:48,63,137,526,609,74,9,Youtube,HOA
2023-12-04 18:45:53,8,36,99,170,28,43,Bing,FAFR
2023-12-04 18:45:55,7,50,106,224,43,75,Amazon,FAFR
2023-12-04 18:46:04,10,50,118,192,40,34,Bing,WieSOichDichEmpfangen
2023-12-04 18:46:06,9,49,105,233,40,88,Amazon,WieSOichDichEmpfangen
2023-12-04 18:46:09,51,92,228,308,41,39,Youtube,WieSOichDichEmpfangen
2023-12-04 18:46:14,7,35,99,174,28,47,Bing,sagmichbitte
2023-12-04 18:46:18,7,51,104,531,44,383,Amazon,sagmichbitte
2023-12-04 18:46:22,46,88,240,331,42,49,Youtube,sagmichbitte
2023-12-04 18:46:26,7,35,100,171,28,43,Bing,ilAuraitSuffi
2023-12-04 18:46:29,5,48,101,239,43,95,Amazon,ilAuraitSuffi
2023-12-04 18:46:32,38,79,226,385,41,118,Youtube,ilAuraitSuffi
2023-12-04 18:46:47,7,35,100,418,28,290,Bing,Carnegie Mellon University
2023-12-04 18:46:50,5,47,100,398,42,256,Amazon,Carnegie Mellon University
2023-12-04 18:46:53,56,96,275,357,40,42,Youtube,Carnegie Mellon University
2023-12-04 18:46:59,11,50,128,198,39,31,Bing,Airbnb
2023-12-04 18:47:03,69,112,546,659,43,70,Amazon,Airbnb
2023-12-04 18:47:06,68,109,271,349,41,37,Youtube,Airbnb
2023-12-04 18:47:11,8,36,106,175,28,41,Bing,Facebook
2023-12-04 18:47:14,7,49,101,216,42,73,Amazon,Facebook
2023-12-04 18:47:18,46,90,740,829,44,45,Youtube,Facebook
2023-12-04 18:47:23,8,36,96,170,28,46,Bing,Youtube
2023-12-04 18:47:27,17,63,118,235,46,71,Amazon,Youtube
2023-12-04 18:47:30,53,95,188,282,42,52,Youtube,Youtube
2023-12-04 18:47:35,7,35,349,421,28,44,Bing,cirtic
2023-12-04 18:47:38,7,54,122,243,47,74,Amazon,cirtic
2023-12-04 18:47:41,87,128,276,378,41,61,Youtube,cirtic
2023-12-04 18:47:46,8,35,97,168,27,44,Bing,when would there be
2023-12-04 18:47:49,22,66,115,273,44,114,Amazon,when would there be
2023-12-04 18:47:53,49,89,224,314,40,50,Youtube,when would there be
2023-12-04 18:47:57,6,32,96,168,26,46,Bing,search the map for new
2023-12-04 18:48:00,6,49,104,239,43,92,Amazon,search the map for new
2023-12-04 18:48:06,86,129,286,379,43,50,Youtube,search the map for new
2023-12-04 18:48:11,6,33,91,161,27,43,Bing,suggestions on finals
2023-12-04 18:48:12,6,51,100,258,45,113,Amazon,suggestions on finals
2023-12-04 18:48:17,49,89,232,318,40,46,Youtube,suggestions on finals
2023-12-04 18:48:22,11,39,103,172,28,41,Bing,start
2023-12-04 18:48:25,22,65,114,232,43,75,Amazon,start
2023-12-04 18:48:30,47,88,223,461,41,197,Youtube,start
2023-12-04 18:48:35,8,34,98,173,26,49,Bing,ending
2023-12-04 18:48:39,6,50,105,485,44,336,Amazon,ending
2023-12-04 18:48:42,66,108,244,334,42,48,Youtube,ending
2023-12-04 18:48:47,25,169,355,539,144,40,Bing,safety
2023-12-04 18:48:56,31,73,165,258,42,51,Youtube,safety
2023-12-04 18:49:01,7,36,104,172,29,39,Bing,data
2023-12-04 18:49:04,17,69,120,235,52,63,Amazon,data
2023-12-04 18:49:08,61,103,246,344,42,56,Youtube,data
2023-12-04 18:49:14,7,35,100,172,28,44,Bing,DDIO
2023-12-04 18:49:17,7,50,106,1444,43,1295,Amazon,DDIO
2023-12-04 18:49:20,48,90,228,321,42,51,Youtube,DDIO
2023-12-04 18:49:25,10,38,101,172,28,43,Bing,MSFG
2023-12-04 18:49:28,4,49,101,216,45,70,Amazon,MSFG
2023-12-04 18:49:31,59,98,234,317,39,44,Youtube,MSFG
2023-12-04 18:49:36,5,31,676,773,26,71,Bing,HOA
2023-12-04 18:49:40,21,65,118,303,44,141,Amazon,HOA
2023-12-04 18:49:43,65,104,417,492,39,36,Youtube,HOA
2023-12-04 18:49:47,10,42,111,181,32,38,Bing,FAFR
2023-12-04 18:49:50,8,53,109,229,45,75,Amazon,FAFR
2023-12-04 18:49:53,46,87,219,289,41,29,Youtube,FAFR
2023-12-04 18:50:00,9,36,342,415,27,46,Bing,WieSOichDichEmpfangen
2023-12-04 18:50:01,5,47,98,239,42,99,Amazon,WieSOichDichEmpfangen
2023-12-04 18:50:04,52,93,247,313,41,25,Youtube,WieSOichDichEmpfangen
2023-12-04 18:50:13,7,49,102,228,42,84,Amazon,sagmichbitte
2023-12-04 18:50:16,89,137,535,619,48,36,Youtube,sagmichbitte
2023-12-04 18:50:20,8,35,98,179,27,54,Bing,ilAuraitSuffi
2023-12-04 18:50:23,6,49,101,223,43,79,Amazon,ilAuraitSuffi
2023-12-04 18:50:26,76,134,566,642,58,18,Youtube,ilAuraitSuffi
dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 18:38:42,81,108,176,246,27,43,Bing,Carnegie Mellon University
2023-12-04 18:38:50,95,121,157,281,26,98,Amazon,Carnegie Mellon University
2023-12-04 18:38:54,28,83,187,276,55,34,Youtube,Carnegie Mellon University
2023-12-04 18:39:05,5,38,72,258,33,153,Amazon,Airbnb
2023-12-04 18:39:07,88,147,264,352,59,29,Youtube,Airbnb
2023-12-04 18:39:11,7,34,105,180,27,48,Bing,Facebook
2023-12-04 18:39:14,7,34,74,185,27,84,Amazon,Facebook
2023-12-04 18:39:18,58,113,294,392,55,43,Youtube,Facebook
2023-12-04 18:39:22,7,48,113,349,41,195,Bing,Youtube
2023-12-04 18:39:32,57,116,257,577,59,261,Youtube,Youtube
2023-12-04 18:39:36,28,59,347,421,31,43,Bing,cirtic
2023-12-04 18:39:45,68,126,487,614,58,69,Youtube,cirtic
2023-12-04 18:39:50,6,33,110,433,27,296,Bing,when would there be
2023-12-04 18:39:59,44,264,523,815,220,72,Youtube,when would there be
2023-12-04 18:40:04,47,75,347,418,28,43,Bing,search the map for new
2023-12-04 18:40:15,215,283,465,721,68,188,Youtube,search the map for new
2023-12-04 18:40:20,7,35,181,265,28,56,Bing,suggestions on finals
2023-12-04 18:40:22,5,47,99,250,42,109,Amazon,suggestions on finals
2023-12-04 18:40:32,6,43,134,203,37,32,Bing,start
2023-12-04 18:40:38,5,47,100,495,42,353,Amazon,start
2023-12-04 18:40:41,60,120,309,400,60,31,Youtube,start
2023-12-04 18:40:47,26,52,113,187,26,48,Bing,ending
2023-12-04 18:40:51,8,51,112,250,43,95,Amazon,ending
2023-12-04 18:40:55,49,108,282,370,59,29,Youtube,ending
2023-12-04 18:40:59,9,36,101,169,27,41,Bing,safety
2023-12-04 18:41:07,49,107,1142,1263,58,63,Youtube,safety
2023-12-04 18:41:11,7,34,99,176,27,50,Bing,data
2023-12-04 18:41:15,7,51,100,224,44,80,Amazon,data
2023-12-04 18:41:19,82,126,315,654,44,295,Youtube,data
2023-12-04 18:41:23,63,89,152,225,26,47,Bing,DDIO
2023-12-04 18:41:28,61,105,157,274,44,73,Amazon,DDIO
2023-12-04 18:41:32,61,103,238,319,42,39,Youtube,DDIO
2023-12-04 18:41:37,7,33,95,163,26,42,Bing,MSFG
2023-12-04 18:41:40,5,48,104,228,43,81,Amazon,MSFG
2023-12-04 18:41:44,52,93,244,344,41,59,Youtube,MSFG
2023-12-04 18:41:48,8,35,97,167,27,43,Bing,HOA
2023-12-04 18:41:50,15,59,113,225,44,68,Amazon,HOA
2023-12-04 18:41:56,69,109,256,352,40,56,Youtube,HOA
2023-12-04 18:42:04,6,47,98,218,41,79,Amazon,FAFR
2023-12-04 18:42:08,54,95,229,302,41,32,Youtube,FAFR
2023-12-04 18:42:13,7,34,95,196,27,74,Bing,WieSOichDichEmpfangen
2023-12-04 18:42:14,7,57,111,255,50,94,Amazon,WieSOichDichEmpfangen
2023-12-04 18:42:24,6,34,94,162,28,40,Bing,sagmichbitte
2023-12-04 18:42:28,5,45,97,233,40,96,Amazon,sagmichbitte
2023-12-04 18:42:33,60,100,253,341,40,48,Youtube,sagmichbitte
2023-12-04 18:42:37,5,32,95,165,27,43,Bing,ilAuraitSuffi
2023-12-04 18:42:40,7,50,102,223,43,78,Amazon,ilAuraitSuffi
2023-12-04 18:42:45,28,68,215,365,40,110,Youtube,ilAuraitSuffi
2023-12-04 18:43:00,8,36,115,213,28,70,Bing,Carnegie Mellon University
2023-12-04 18:43:03,10,52,115,241,42,84,Amazon,Carnegie Mellon University
2023-12-04 18:43:07,58,102,281,372,44,47,Youtube,Carnegie Mellon University
2023-12-04 18:43:11,8,35,98,167,27,42,Bing,Airbnb
2023-12-04 18:43:17,17,62,307,426,45,74,Amazon,Airbnb
2023-12-04 18:43:20,49,92,200,756,43,513,Youtube,Airbnb
2023-12-04 18:43:25,7,35,103,178,28,47,Bing,Facebook
2023-12-04 18:43:28,25,74,128,263,49,86,Amazon,Facebook
2023-12-04 18:43:32,58,98,251,329,40,38,Youtube,Facebook
2023-12-04 18:43:36,7,34,95,198,27,76,Bing,Youtube
2023-12-04 18:43:42,15,57,292,425,42,91,Amazon,Youtube
2023-12-04 18:43:45,77,129,277,343,52,14,Youtube,Youtube
2023-12-04 18:43:50,8,34,73,279,26,180,Bing,cirtic
2023-12-04 18:43:52,4,50,98,399,46,255,Amazon,cirtic
2023-12-04 18:43:56,49,91,251,340,42,47,Youtube,cirtic
2023-12-04 18:44:03,7,49,103,218,42,73,Amazon,when would there be
2023-12-04 18:44:07,58,99,238,335,41,56,Youtube,when would there be
2023-12-04 18:44:12,9,39,89,177,30,58,Bing,search the map for new
2023-12-04 18:44:16,19,19,1271,1378,0,107,Amazon,search the map for new
2023-12-04 18:44:19,53,97,246,325,44,35,Youtube,search the map for new
2023-12-04 18:44:25,8,34,75,1230,26,1129,Bing,suggestions on finals
2023-12-04 18:44:28,23,67,118,233,44,71,Amazon,suggestions on finals
2023-12-04 18:44:32,64,105,510,602,41,51,Youtube,suggestions on finals
2023-12-04 18:44:37,17,53,140,265,36,89,Bing,start
2023-12-04 18:44:39,5,50,103,260,45,112,Amazon,start
2023-12-04 18:44:42,47,86,223,297,39,35,Youtube,start
2023-12-04 18:44:47,9,37,81,177,28,68,Bing,ending
2023-12-04 18:44:50,4,46,94,207,42,71,Amazon,ending
2023-12-04 18:44:54,59,103,235,322,44,43,Youtube,ending
2023-12-04 18:44:59,10,52,133,606,42,431,Bing,safety
2023-12-04 18:45:10,42,82,170,261,40,51,Youtube,safety
2023-12-04 18:45:15,10,36,97,171,26,48,Bing,data
2023-12-04 18:45:18,20,62,113,235,42,80,Amazon,data
2023-12-04 18:45:23,52,94,229,706,42,435,Youtube,data
2023-12-04 18:45:27,8,36,108,182,28,46,Bing,DDIO
2023-12-04 18:45:30,13,56,110,271,43,118,Amazon,DDIO
2023-12-04 18:45:33,67,108,261,351,41,49,Youtube,DDIO
2023-12-04 18:45:37,13,41,121,191,28,42,Bing,MSFG
2023-12-04 18:45:41,5,47,103,224,42,79,Amazon,MSFG
2023-12-04 18:45:45,60,100,248,333,40,45,Youtube,MSFG
2023-12-04 18:45:50,14,50,117,189,36,36,Bing,HOA
2023-12-04 18:45:52,9,50,101,224,41,82,Amazon,HOA
2023-12-04 18:46:01,7,34,98,167,27,42,Bing,FAFR
2023-12-04 18:46:04,5,51,104,278,46,128,Amazon,FAFR
2023-12-04 18:46:09,67,108,265,337,41,31,Youtube,FAFR
2023-12-04 18:46:13,8,39,101,174,31,42,Bing,WieSOichDichEmpfangen
2023-12-04 18:46:16,8,53,107,244,45,92,Amazon,WieSOichDichEmpfangen
2023-12-04 18:46:20,42,85,234,328,43,51,Youtube,WieSOichDichEmpfangen
2023-12-04 18:46:24,31,59,158,228,28,42,Bing,sagmichbitte
2023-12-04 18:46:27,5,48,101,219,43,75,Amazon,sagmichbitte
2023-12-04 18:46:31,46,90,241,332,44,47,Youtube,sagmichbitte
2023-12-04 18:46:35,8,35,97,164,27,40,Bing,ilAuraitSuffi
2023-12-04 18:46:37,5,47,100,223,42,81,Amazon,ilAuraitSuffi
2023-12-04 18:46:40,34,74,208,278,40,30,Youtube,ilAuraitSuffi
2023-12-04 18:46:55,28,56,117,186,28,41,Bing,Carnegie Mellon University
2023-12-04 18:46:58,7,49,101,215,42,72,Amazon,Carnegie Mellon University
2023-12-04 18:47:02,107,148,292,371,41,38,Youtube,Carnegie Mellon University
2023-12-04 18:47:08,8,37,107,174,29,38,Bing,Airbnb
2023-12-04 18:47:11,4,46,97,222,42,83,Amazon,Airbnb
2023-12-04 18:47:16,60,103,440,518,43,35,Youtube,Airbnb
2023-12-04 18:47:21,105,132,193,266,27,46,Bing,Facebook
2023-12-04 18:47:25,5,47,99,237,42,96,Amazon,Facebook
2023-12-04 18:47:28,51,101,238,312,50,24,Youtube,Facebook
2023-12-04 18:47:33,7,33,94,162,26,42,Bing,Youtube
2023-12-04 18:47:38,9,52,104,247,43,100,Amazon,Youtube
2023-12-04 18:47:46,9,36,96,169,27,46,Bing,cirtic
2023-12-04 18:47:51,22,63,118,246,41,87,Amazon,cirtic
2023-12-04 18:47:55,74,118,266,343,44,33,Youtube,cirtic
2023-12-04 18:47:59,8,35,96,164,27,41,Bing,when would there be
2023-12-04 18:48:03,13,55,107,229,42,80,Amazon,when would there be
2023-12-04 18:48:07,51,92,240,326,41,45,Youtube,when would there be
2023-12-04 18:48:15,8,37,100,931,29,802,Bing,search the map for new
2023-12-04 18:48:16,8,50,102,225,42,81,Amazon,search the map for new
2023-12-04 18:48:19,53,93,625,710,40,45,Youtube,search the map for new
2023-12-04 18:48:24,10,39,105,176,29,42,Bing,suggestions on finals
2023-12-04 18:48:26,18,63,117,249,45,87,Amazon,suggestions on finals
2023-12-04 18:48:30,44,84,231,321,40,50,Youtube,suggestions on finals
2023-12-04 18:48:34,7,36,99,173,29,45,Bing,start
2023-12-04 18:48:47,14,58,111,271,44,116,Amazon,start
2023-12-04 18:48:54,27,178,711,869,151,7,Youtube,start
2023-12-04 18:48:58,6,34,96,167,28,43,Bing,ending
2023-12-04 18:49:01,5,46,97,209,41,71,Amazon,ending
2023-12-04 18:49:05,52,93,246,516,41,229,Youtube,ending
2023-12-04 18:49:10,10,39,104,171,29,38,Bing,safety
2023-12-04 18:49:18,70,109,878,947,39,30,Youtube,safety
2023-12-04 18:49:22,6,34,96,169,28,45,Bing,data
2023-12-04 18:49:25,12,54,105,224,42,77,Amazon,data
2023-12-04 18:49:29,56,99,245,344,43,56,Youtube,data
2023-12-04 18:49:34,7,34,95,162,27,40,Bing,DDIO
2023-12-04 18:49:37,62,105,161,294,43,90,Amazon,DDIO
2023-12-04 18:49:41,61,102,254,693,41,398,Youtube,DDIO
2023-12-04 18:49:45,7,37,100,168,30,38,Bing,MSFG
2023-12-04 18:49:47,6,49,100,218,43,75,Amazon,MSFG
2023-12-04 18:49:52,50,91,228,321,41,52,Youtube,MSFG
2023-12-04 18:49:56,6,35,95,164,29,40,Bing,HOA
2023-12-04 18:49:58,9,53,106,283,44,133,Amazon,HOA
2023-12-04 18:50:03,52,92,480,571,40,51,Youtube,HOA
2023-12-04 18:50:07,25,53,120,192,28,44,Bing,FAFR
2023-12-04 18:50:10,5,49,100,244,44,100,Amazon,FAFR
2023-12-04 18:50:13,51,93,227,298,42,29,Youtube,FAFR
2023-12-04 18:50:18,9,34,97,170,25,48,Bing,WieSOichDichEmpfangen
2023-12-04 18:50:20,4,47,99,240,43,98,Amazon,WieSOichDichEmpfangen
2023-12-04 18:50:24,50,104,455,519,54,10,Youtube,WieSOichDichEmpfangen
2023-12-04 18:50:28,6,33,93,161,27,41,Bing,sagmichbitte
2023-12-04 18:50:30,5,47,96,240,42,102,Amazon,sagmichbitte
2023-12-04 18:50:34,37,91,268,342,54,20,Youtube,sagmichbitte
2023-12-04 18:50:40,4,46,100,218,42,76,Amazon,ilAuraitSuffi
